Wall time,Step,Value
1575845870.328036,0,3.0768282413482666
1575845893.9380727,0,2.5584921836853027
1575845896.8601756,0,2.8587512969970703
1575845907.5863714,0,3.7364554405212402
1575845922.11972,0,2.3755531311035156
1575845944.7055962,0,2.8115034103393555
1575846004.500451,0,1.827974796295166
1575846007.4421284,0,2.4528398513793945
1575846016.2550857,0,2.0059468746185303
1575846077.1066618,0,2.267451286315918
1575846082.0254014,0,2.5768728256225586
1575846102.6696415,0,2.160700559616089
1575846114.4395342,0,2.1096880435943604
1575846120.333643,0,2.352757215499878
1575846154.6791947,0,1.9289729595184326
1575846156.6327941,0,1.8519785404205322
1575846164.486508,0,1.9606032371520996
1575846192.9460335,0,1.9559636116027832
1575846212.563818,0,1.7327144145965576
1575846266.0247746,0,1.9314954280853271
1575846287.3667862,0,1.7167567014694214
1575846305.0891693,0,2.1093525886535645
1575846318.8561738,0,1.8782663345336914
1575846380.0973444,1,2.3788034915924072
1575846406.6391647,1,1.7238844633102417
1575846422.3582745,1,1.4565176963806152
1575846429.2480333,1,2.520087718963623
1575846430.2365475,1,1.9723172187805176
1575846462.6868944,1,1.8820559978485107
1575846476.4488318,1,2.1406893730163574
1575846489.2598822,1,2.633899211883545
1575846503.0512562,1,2.026108503341675
1575846512.893241,1,1.806678295135498
1575846555.2001243,1,2.4444937705993652
1575846563.0625236,1,1.9563946723937988
1575846570.9328012,1,1.7303022146224976
1575846596.5180662,1,1.7984504699707031
1575846605.381596,1,1.741416573524475
1575846609.3126435,1,2.1176438331604004
1575846611.2782247,1,1.8051912784576416
1575846625.0454772,1,2.0117170810699463
1575846627.0122087,1,1.8765206336975098
1575846633.889011,1,1.896526575088501
1575846641.7568705,1,1.8850088119506836
1575846647.6684704,1,1.8545376062393188
1575846675.2124,1,2.485826015472412
1575846782.5422478,1,2.015950918197632
1575846799.2791634,1,1.9365181922912598
1575846808.1649272,1,1.3232860565185547
1575846809.1486993,1,2.230573892593384
1575846815.0605845,1,1.6354938745498657
1575846820.9607434,1,2.763745069503784
1575846839.0379715,2,1.8890488147735596
1575846842.0028303,2,1.9629656076431274
1575846850.8554084,2,1.8183952569961548
1575846899.0986035,2,2.3550808429718018
1575846902.0640142,2,3.138880968093872
1575846907.9694517,2,2.3591277599334717
1575846913.876421,2,1.9462794065475464
1575846928.6264975,2,2.167048215866089
1575846934.5304987,2,1.8552849292755127
1575846939.456057,2,2.5982396602630615
1575846990.6785595,2,1.7266428470611572
1575846995.5970435,2,2.16811466217041
1575846996.5806441,2,2.022340774536133
1575847014.2945163,2,1.8326932191848755
1575847027.0890496,2,2.1879584789276123
1575847077.3230739,2,2.0421512126922607
1575847094.0674098,2,2.400818109512329
1575847148.206902,2,2.220942974090576
1575847151.165212,2,2.1477956771850586
1575847164.9456005,2,2.0865230560302734
1575847168.8765626,2,2.801818370819092
1575847216.18683,2,2.6166653633117676
1575847223.0905921,2,2.4312121868133545
1575847244.7922506,2,1.5892541408538818
1575847256.6265728,2,1.4348418712615967
1575847266.48731,2,1.7445231676101685
1575847295.995689,2,2.120302438735962
1575847306.8378282,2,1.7375184297561646
1575847314.7360907,2,2.1559009552001953
1575847320.6388476,2,1.8213177919387817
1575847352.4709606,3,1.6927587985992432
1575847380.9976351,3,1.8977527618408203
1575847396.7633991,3,2.0149948596954346
1575847412.5041077,3,1.9337760210037231
1575847416.4455874,3,1.902995228767395
1575847433.192137,3,2.173398733139038
1575847467.6910996,3,1.774613857269287
1575847509.0496588,3,1.9951964616775513
1575847517.917716,3,2.209404945373535
1575847523.8371706,3,1.5138330459594727
1575847528.7544181,3,2.449805736541748
1575847535.6463513,3,2.439793109893799
1575847544.5209227,3,2.3323326110839844
1575847558.3350132,3,2.4224815368652344
1575847560.3042908,3,2.2693939208984375
1575847563.2597508,3,1.577701210975647
1575847606.5937502,3,1.5677202939987183
1575847650.9415693,3,2.1413965225219727
1575847668.657782,3,2.0381503105163574
1575847677.5120544,3,1.8525311946868896
1575847690.3070369,3,1.7150640487670898
1575847693.2552485,3,1.6471071243286133
1575847701.1314964,3,1.7739864587783813
1575847740.5060806,3,1.8674132823944092
1575847757.2613177,3,1.7500724792480469
1575847767.1240008,3,2.2546963691711426
1575847770.0735593,3,1.7352149486541748
1575847789.7573478,3,1.9652138948440552
1575847823.6328049,4,2.14097261428833
1575847835.443956,4,2.285414695739746
1575847858.1175132,4,1.7502342462539673
1575847894.5762577,4,2.068035840988159
1575847897.5327718,4,1.8974716663360596
1575847898.5207198,4,2.7389912605285645
1575847906.416532,4,2.6578736305236816
1575847910.3523064,4,1.494010329246521
1575847917.2494426,4,2.137359619140625
1575847969.4519951,4,1.6094961166381836
1575847976.340895,4,1.9918545484542847
1575847985.208211,4,1.9257574081420898
1575848006.890452,4,1.8571677207946777
1575848010.8296127,4,1.7468392848968506
1575848018.714192,4,1.738817811012268
