Wall time,Step,Value
1575845870.3284094,0,0.9148130416870117
1575845893.938401,0,0.6636055707931519
1575845896.860547,0,1.1347569227218628
1575845907.586792,0,1.9967737197875977
1575845922.1200929,0,0.8580852150917053
1575845944.705978,0,1.3739726543426514
1575846004.5006974,0,0.47966891527175903
1575846007.4423442,0,0.9750438928604126
1575846016.2553725,0,0.6930521130561829
1575846077.1073368,0,0.925879716873169
1575846082.0257154,0,1.2916704416275024
1575846102.6701849,0,1.0243821144104004
1575846114.4397466,0,0.8869913816452026
1575846120.333858,0,1.190683126449585
1575846154.679583,0,0.9129771590232849
1575846156.6330287,0,0.6411632299423218
1575846164.4868798,0,0.8635693788528442
1575846192.9462464,0,0.7287824153900146
1575846212.564138,0,0.6328369379043579
1575846266.025069,0,0.8871627449989319
1575846287.3670034,0,0.7927991151809692
1575846305.0894992,0,1.0535731315612793
1575846318.8564098,0,0.715261697769165
1575846380.0977411,1,1.3640553951263428
1575846406.6393843,1,0.7731471061706543
1575846422.358668,1,0.4173949062824249
1575846429.2484388,1,1.5579628944396973
1575846430.2368703,1,1.0633736848831177
1575846462.6872952,1,0.8864127993583679
1575846476.449246,1,1.129420518875122
1575846489.2600956,1,1.5315799713134766
1575846503.051639,1,0.9937412142753601
1575846512.893923,1,0.8629399538040161
1575846555.2003398,1,1.4412205219268799
1575846563.0629983,1,0.8935141563415527
1575846570.933035,1,0.8008987903594971
1575846596.5184574,1,0.7925975322723389
1575846605.3819776,1,0.8019815683364868
1575846609.3128915,1,1.1911799907684326
1575846611.2785184,1,0.814742386341095
1575846625.0458229,1,0.9484051465988159
1575846627.0125344,1,0.9459229707717896
1575846633.8893895,1,0.9780697822570801
1575846641.7571647,1,0.7657526731491089
1575846647.6688652,1,0.9050878882408142
1575846675.2127597,1,1.5722662210464478
1575846782.5426154,1,1.1401934623718262
1575846799.2795503,1,1.0802711248397827
1575846808.1652143,1,0.40450596809387207
1575846809.1489782,1,1.3473341464996338
1575846815.0610118,1,0.7992801666259766
1575846820.9610293,1,1.8577213287353516
1575846839.0381956,2,1.096451759338379
1575846842.003125,2,0.7344822883605957
1575846850.8556263,2,0.7866710424423218
1575846899.0989947,2,1.4334865808486938
1575846902.0644104,2,2.212127685546875
1575846907.9696717,2,1.3870370388031006
1575846913.8768144,2,1.1817436218261719
1575846928.6268365,2,1.258134365081787
1575846934.5308208,2,0.9966205358505249
1575846939.4564846,2,1.605780839920044
1575846990.6787884,2,0.8582092523574829
1575846995.5976279,2,1.3686578273773193
1575846996.5808828,2,1.1076418161392212
1575847014.2947342,2,1.0505186319351196
1575847027.0893397,2,1.286123514175415
1575847077.3235204,2,1.1025021076202393
1575847094.0677655,2,1.534268856048584
1575847148.2071238,2,1.273330569267273
1575847151.1655414,2,1.1927380561828613
1575847164.9459412,2,1.2307404279708862
1575847168.876783,2,1.9218521118164062
1575847216.1871905,2,1.7840232849121094
1575847223.0909157,2,1.6831119060516357
1575847244.7924654,2,0.717433512210846
1575847256.6267946,2,0.5935185551643372
1575847266.4877102,2,0.9853074550628662
1575847295.9959042,2,1.2277626991271973
1575847306.838063,2,0.7747732996940613
1575847314.7363105,2,1.3248741626739502
1575847320.6392405,2,0.9676774740219116
1575847352.471557,3,0.8678525686264038
1575847380.9978533,3,1.0939509868621826
1575847396.7637482,3,1.1727778911590576
1575847412.504328,3,1.20164954662323
1575847416.445972,3,1.0703701972961426
1575847433.192534,3,1.3268089294433594
1575847467.6916087,3,0.8004370927810669
1575847509.050057,3,1.0922510623931885
1575847517.917938,3,1.3424662351608276
1575847523.8374062,3,0.7336063981056213
1575847528.7548199,3,1.645697832107544
1575847535.646707,3,1.6614947319030762
1575847544.521499,3,1.521825909614563
1575847558.3354056,3,1.3304576873779297
1575847560.30451,3,1.4231460094451904
1575847563.2599902,3,0.7293543815612793
1575847606.5941494,3,0.8068815469741821
1575847650.9417932,3,1.344294786453247
1575847668.658003,3,1.0997507572174072
